Commodity Info,Consumption Units,Department,Fiscal Year,Quarter,Consumption,Emissions mtCO2e
RD100,Gallons,Public Works,2022,Q1,50,0.02
RD100,Gallons,Public Works,2022,Q1,55,0.02
RD100,Gallons,Public Works,2022,Q1,57,0.02
RD100,Gallons,Public Works,2022,Q1,59,0.02
RD100,Gallons,Public Works,2022,Q1,60,0.02
RD100,Gallons,Public Works,2022,Q1,62,0.02
RD100,Gallons,Public Works,2022,Q1,63,0.02
RD100,Gallons,Public Works,2022,Q1,63,0.02
RD100,Gallons,Public Works,2022,Q1,66,0.02
RD100,Gallons,Public Works,2022,Q1,66,0.02
RD100,Gallons,Public Works,2022,Q1,67,0.02
RD100,Gallons,Public Works,2022,Q1,71,0.02
RD100,Gallons,Public Works,2022,Q1,73,0.02
RD100,Gallons,Public Works,2022,Q1,75,0.02
RD100,Gallons,Public Works,2022,Q1,77,0.03
RD100,Gallons,Public Works,2022,Q1,78,0.03
RD100,Gallons,Public Works,2022,Q1,79,0.03
RD100,Gallons,Public Works,2022,Q1,81,0.03
RD100,Gallons,Public Works,2022,Q1,81,0.03
RD100,Gallons,Public Works,2022,Q1,83,0.03
RD100,Gallons,Public Works,2022,Q1,84,0.03
RD100,Gallons,Public Works,2022,Q1,86,0.03
RD100,Gallons,Public Works,2022,Q1,87,0.03
RD100,Gallons,Public Works,2022,Q1,89,0.03
RD100,Gallons,Public Works,2022,Q1,91,0.03
RD100,Gallons,Public Works,2022,Q1,92,0.03
RD100,Gallons,Public Works,2022,Q1,93,0.03
RD100,Gallons,Public Works,2022,Q1,93,0.03
RD100,Gallons,Public Works,2022,Q1,93,0.03
RD100,Gallons,Public Works,2022,Q1,94,0.03
RD100,Gallons,Public Works,2022,Q1,95,0.03
RD100,Gallons,Public Works,2022,Q1,96,0.03
RD100,Gallons,Public Works,2022,Q1,97,0.03
RD100,Gallons,Public Works,2022,Q1,98,0.03
RD100,Gallons,Public Works,2022,Q1,98,0.03
RD100,Gallons,Public Works,2022,Q1,100,0.03
RD100,Gallons,Public Works,2022,Q1,101,0.03
RD100,Gallons,Public Works,2022,Q1,102,0.03
RD100,Gallons,Public Works,2022,Q1,102,0.03
RD100,Gallons,Public Works,2022,Q1,104,0.03
RD100,Gallons,Public Works,2022,Q1,106,0.03
RD100,Gallons,Public Works,2022,Q1,107,0.03
RD100,Gallons,Public Works,2022,Q1,109,0.04
RD100,Gallons,Public Works,2022,Q1,110,0.04
RD100,Gallons,Public Works,2022,Q1,110,0.04
RD100,Gallons,Public Works,2022,Q1,112,0.04
RD100,Gallons,Public Works,2022,Q1,116,0.04
RD100,Gallons,Public Works,2022,Q1,116,0.04
RD100,Gallons,Public Works,2022,Q1,116,0.04
RD100,Gallons,Public Works,2022,Q1,122,0.04
RD100,Gallons,Public Works,2022,Q1,123,0.04
RD100,Gallons,Public Works,2022,Q1,123,0.04
RD100,Gallons,Public Works,2022,Q1,123,0.04
RD100,Gallons,Public Works,2022,Q1,127,0.04
RD100,Gallons,Public Works,2022,Q1,129,0.04
RD100,Gallons,Public Works,2022,Q1,131,0.04
RD100,Gallons,Public Works,2022,Q1,133,0.04
RD100,Gallons,Public Works,2022,Q1,135,0.04
RD100,Gallons,Public Works,2022,Q1,137,0.04
RD100,Gallons,Public Works,2022,Q1,137,0.04
RD100,Gallons,Public Works,2022,Q1,137,0.04
RD100,Gallons,Public Works,2022,Q1,138,0.05
RD100,Gallons,Public Works,2022,Q1,138,0.05
RD100,Gallons,Public Works,2022,Q1,138,0.05
RD100,Gallons,Public Works,2022,Q1,138,0.05
RD100,Gallons,Public Works,2022,Q1,139,0.05
RD100,Gallons,Public Works,2022,Q1,139,0.05
RD100,Gallons,Public Works,2022,Q1,140,0.05
RD100,Gallons,Public Works,2022,Q1,142,0.05
RD100,Gallons,Public Works,2022,Q1,144,0.05
RD100,Gallons,Public Works,2022,Q1,144,0.05
RD100,Gallons,Public Works,2022,Q1,147,0.05
RD100,Gallons,Public Works,2022,Q1,150,0.05
RD100,Gallons,Public Works,2022,Q1,151,0.05
RD100,Gallons,Public Works,2022,Q1,158,0.05
RD100,Gallons,Public Works,2022,Q1,159,0.05
RD100,Gallons,Public Works,2022,Q1,160,0.05
RD100,Gallons,Public Works,2022,Q1,164,0.05
RD100,Gallons,Public Works,2022,Q1,166,0.05
RD100,Gallons,Public Works,2022,Q1,167,0.05
RD100,Gallons,Public Works,2022,Q1,170,0.06
RD100,Gallons,Public Works,2022,Q1,175,0.06
RD100,Gallons,Public Works,2022,Q1,177,0.06
RD100,Gallons,Public Works,2022,Q1,182,0.06
RD100,Gallons,Public Works,2022,Q1,183,0.06
RD100,Gallons,Public Works,2022,Q1,185,0.06
RD100,Gallons,Public Works,2022,Q1,187,0.06
RD100,Gallons,Public Works,2022,Q1,192,0.06
RD100,Gallons,Public Works,2022,Q1,193,0.06
RD100,Gallons,Public Works,2022,Q1,197,0.06
RD100,Gallons,Public Works,2022,Q1,198,0.06
RD100,Gallons,Public Works,2022,Q1,201,0.07
RD100,Gallons,Public Works,2022,Q1,202,0.07
RD100,Gallons,Public Works,2022,Q1,205,0.07
RD100,Gallons,Public Works,2022,Q1,205,0.07
RD100,Gallons,Public Works,2022,Q1,207,0.07
RD100,Gallons,Public Works,2022,Q1,209,0.07
RD100,Gallons,Public Works,2022,Q1,209,0.07
RD100,Gallons,Public Works,2022,Q1,215,0.07
RD100,Gallons,Public Works,2022,Q1,216,0.07
RD100,Gallons,Public Works,2022,Q1,217,0.07
RD100,Gallons,Public Works,2022,Q1,219,0.07
RD100,Gallons,Public Works,2022,Q1,221,0.07
RD100,Gallons,Public Works,2022,Q1,222,0.07
RD100,Gallons,Public Works,2022,Q1,222,0.07
RD100,Gallons,Public Works,2022,Q1,224,0.07
RD100,Gallons,Public Works,2022,Q1,226,0.07
RD100,Gallons,Public Works,2022,Q1,228,0.07
RD100,Gallons,Public Works,2022,Q1,229,0.07
RD100,Gallons,Public Works,2022,Q1,230,0.08
RD100,Gallons,Public Works,2022,Q1,230,0.08
RD100,Gallons,Public Works,2022,Q1,234,0.08
RD100,Gallons,Public Works,2022,Q1,240,0.08
RD100,Gallons,Public Works,2022,Q1,241,0.08
RD100,Gallons,Public Works,2022,Q1,242,0.08
RD100,Gallons,Public Works,2022,Q1,246,0.08
RD100,Gallons,Public Works,2022,Q1,249,0.08
RD100,Gallons,Public Works,2022,Q1,257,0.08
RD100,Gallons,Public Works,2022,Q1,265,0.09
RD100,Gallons,Public Works,2022,Q1,270,0.09
RD100,Gallons,Public Works,2022,Q1,273,0.09
RD100,Gallons,Public Works,2022,Q1,276,0.09
RD100,Gallons,Public Works,2022,Q1,278,0.09
RD100,Gallons,Public Works,2022,Q1,279,0.09
RD100,Gallons,Public Works,2022,Q1,280,0.09
RD100,Gallons,Public Works,2022,Q1,282,0.09
RD100,Gallons,Public Works,2022,Q1,283,0.09
RD100,Gallons,Public Works,2022,Q1,286,0.09
RD100,Gallons,Public Works,2022,Q1,304,0.1
RD100,Gallons,Public Works,2022,Q1,309,0.1
RD100,Gallons,Public Works,2022,Q1,310,0.1
RD100,Gallons,Public Works,2022,Q1,313,0.1
RD100,Gallons,Public Works,2022,Q1,329,0.11
RD100,Gallons,Public Works,2022,Q1,330,0.11
RD100,Gallons,Public Works,2022,Q1,330,0.11
RD100,Gallons,Public Works,2022,Q1,334,0.11
RD100,Gallons,Public Works,2022,Q1,348,0.11
RD100,Gallons,Public Works,2022,Q1,355,0.12
RD100,Gallons,Public Works,2022,Q1,366,0.12
RD100,Gallons,Public Works,2022,Q1,367,0.12
RD100,Gallons,Public Works,2022,Q1,369,0.12
RD100,Gallons,Public Works,2022,Q1,370,0.12
RD100,Gallons,Public Works,2022,Q1,374,0.12
RD100,Gallons,Public Works,2022,Q1,376,0.12
RD100,Gallons,Public Works,2022,Q1,378,0.12
RD100,Gallons,Public Works,2022,Q1,384,0.13
RD100,Gallons,Public Works,2022,Q1,391,0.13
RD100,Gallons,Public Works,2022,Q1,394,0.13
RD100,Gallons,Public Works,2022,Q1,403,0.13
RD100,Gallons,Public Works,2022,Q1,411,0.13
RD100,Gallons,Public Works,2022,Q1,425,0.14
RD100,Gallons,Public Works,2022,Q1,427,0.14
RD100,Gallons,Public Works,2022,Q1,437,0.14
RD100,Gallons,Public Works,2022,Q1,440,0.14
RD100,Gallons,Public Works,2022,Q1,442,0.14
RD100,Gallons,Public Works,2022,Q1,453,0.15
RD100,Gallons,Public Works,2022,Q1,456,0.15
RD100,Gallons,Public Works,2022,Q1,462,0.15
RD100,Gallons,Public Works,2022,Q1,469,0.15
RD100,Gallons,Public Works,2022,Q1,514,0.17
RD100,Gallons,Public Works,2022,Q1,544,0.18
RD100,Gallons,Public Works,2022,Q1,557,0.18
RD100,Gallons,Public Works,2022,Q1,606,0.2
RD100,Gallons,Public Works,2022,Q1,621,0.2
RD100,Gallons,Public Works,2022,Q1,629,0.21
RD100,Gallons,Public Works,2022,Q1,649,0.21
RD100,Gallons,Public Works,2022,Q1,653,0.21
RD100,Gallons,Public Works,2022,Q1,655,0.21
RD100,Gallons,Public Works,2022,Q1,699,0.23
RD100,Gallons,Public Works,2022,Q1,701,0.23
RD100,Gallons,Public Works,2022,Q1,738,0.24
RD100,Gallons,Public Works,2022,Q1,756,0.25
RD100,Gallons,Public Works,2022,Q1,774,0.25
RD100,Gallons,Public Works,2022,Q1,810,0.26
RD100,Gallons,Public Works,2022,Q1,819,0.27
RD100,Gallons,Public Works,2022,Q1,947,0.31
RD100,Gallons,Public Works,2022,Q1,957,0.31
RD100,Gallons,Public Works,2022,Q1,981,0.32
RD100,Gallons,Public Works,2022,Q1,982,0.32
RD100,Gallons,Public Works,2022,Q1,1000,0.33
RD100,Gallons,Public Works,2022,Q1,1002,0.33
RD100,Gallons,Public Works,2022,Q1,1008,0.33
RD100,Gallons,Public Works,2022,Q1,1022,0.33
RD100,Gallons,Public Works,2022,Q1,1046,0.34
RD100,Gallons,Public Works,2022,Q1,1054,0.34
RD100,Gallons,Public Works,2022,Q1,1090,0.36
RD100,Gallons,Public Works,2022,Q1,1116,0.36
RD100,Gallons,Public Works,2022,Q1,1124,0.37
RD100,Gallons,Public Works,2022,Q1,1162,0.38
RD100,Gallons,Public Works,2022,Q1,1202,0.39
RD100,Gallons,Public Works,2022,Q1,1216,0.4
RD100,Gallons,Public Works,2022,Q1,1217,0.4
RD100,Gallons,Public Works,2022,Q1,1223,0.4
RD100,Gallons,Public Works,2022,Q1,1242,0.41
RD100,Gallons,Public Works,2022,Q1,1279,0.42
RD100,Gallons,Public Works,2022,Q1,1632,0.53
RD100,Gallons,Public Works,2022,Q1,1892,0.62
RD100,Gallons,Public Works,2022,Q4,3,0
RD100,Gallons,Public Works,2022,Q4,5,0
RD100,Gallons,Public Works,2022,Q4,6,0
RD100,Gallons,Public Works,2022,Q4,6,0
RD100,Gallons,Public Works,2022,Q4,7,0
RD100,Gallons,Public Works,2022,Q4,8,0
RD100,Gallons,Public Works,2022,Q4,8,0
RD100,Gallons,Public Works,2022,Q4,9,0
RD100,Gallons,Public Works,2022,Q4,9,0
RD100,Gallons,Public Works,2022,Q4,9,0
RD100,Gallons,Public Works,2022,Q4,10,0
RD100,Gallons,Public Works,2022,Q4,10,0
RD100,Gallons,Public Works,2022,Q4,11,0
RD100,Gallons,Public Works,2022,Q4,11,0
RD100,Gallons,Public Works,2022,Q4,12,0
RD100,Gallons,Public Works,2022,Q4,12,0
RD100,Gallons,Public Works,2022,Q4,13,0
RD100,Gallons,Public Works,2022,Q4,16,0.01
RD100,Gallons,Public Works,2022,Q4,16,0.01
RD100,Gallons,Public Works,2022,Q4,16,0.01
RD100,Gallons,Public Works,2022,Q4,19,0.01
RD100,Gallons,Public Works,2022,Q4,20,0.01
RD100,Gallons,Public Works,2022,Q4,20,0.01
RD100,Gallons,Public Works,2022,Q4,22,0.01
RD100,Gallons,Public Works,2022,Q4,22,0.01
RD100,Gallons,Public Works,2022,Q4,23,0.01
RD100,Gallons,Public Works,2022,Q4,23,0.01
RD100,Gallons,Public Works,2022,Q4,25,0.01
RD100,Gallons,Public Works,2022,Q4,25,0.01
RD100,Gallons,Public Works,2022,Q4,26,0.01
RD100,Gallons,Public Works,2022,Q4,27,0.01
RD100,Gallons,Public Works,2022,Q4,30,0.01
RD100,Gallons,Public Works,2022,Q4,30,0.01
RD100,Gallons,Public Works,2022,Q4,32,0.01
RD100,Gallons,Public Works,2022,Q4,32,0.01
RD100,Gallons,Public Works,2022,Q4,34,0.01
RD100,Gallons,Public Works,2022,Q4,37,0.01
RD100,Gallons,Public Works,2022,Q4,40,0.01
RD100,Gallons,Public Works,2022,Q4,41,0.01
RD100,Gallons,Public Works,2022,Q4,43,0.01
RD100,Gallons,Public Works,2022,Q4,43,0.01
RD100,Gallons,Public Works,2022,Q4,45,0.01
RD100,Gallons,Public Works,2022,Q4,46,0.02
RD100,Gallons,Public Works,2022,Q4,47,0.02
RD100,Gallons,Public Works,2022,Q4,47,0.02
RD100,Gallons,Public Works,2022,Q4,48,0.02
RD100,Gallons,Public Works,2022,Q4,49,0.02
RD100,Gallons,Public Works,2022,Q4,49,0.02
RD100,Gallons,Public Works,2022,Q4,51,0.02
RD100,Gallons,Public Works,2022,Q4,53,0.02
RD100,Gallons,Public Works,2022,Q4,53,0.02
RD100,Gallons,Public Works,2022,Q4,54,0.02
RD100,Gallons,Public Works,2022,Q4,55,0.02
RD100,Gallons,Public Works,2022,Q4,57,0.02
RD100,Gallons,Public Works,2022,Q4,58,0.02
RD100,Gallons,Public Works,2022,Q4,58,0.02
RD100,Gallons,Public Works,2022,Q4,59,0.02
RD100,Gallons,Public Works,2022,Q4,60,0.02
RD100,Gallons,Public Works,2022,Q4,61,0.02
RD100,Gallons,Public Works,2022,Q4,61,0.02
RD100,Gallons,Public Works,2022,Q4,62,0.02
RD100,Gallons,Public Works,2022,Q4,66,0.02
RD100,Gallons,Public Works,2022,Q4,66,0.02
RD100,Gallons,Public Works,2022,Q4,72,0.02
RD100,Gallons,Public Works,2022,Q4,72,0.02
RD100,Gallons,Public Works,2022,Q4,73,0.02
RD100,Gallons,Public Works,2022,Q4,75,0.02
RD100,Gallons,Public Works,2022,Q4,81,0.03
RD100,Gallons,Public Works,2022,Q4,82,0.03
RD100,Gallons,Public Works,2022,Q4,82,0.03
RD100,Gallons,Public Works,2022,Q4,83,0.03
RD100,Gallons,Public Works,2022,Q4,84,0.03
RD100,Gallons,Public Works,2022,Q4,84,0.03
RD100,Gallons,Public Works,2022,Q4,85,0.03
RD100,Gallons,Public Works,2022,Q4,88,0.03
RD100,Gallons,Public Works,2022,Q4,89,0.03
RD100,Gallons,Public Works,2022,Q4,89,0.03
RD100,Gallons,Public Works,2022,Q4,89,0.03
RD100,Gallons,Public Works,2022,Q4,90,0.03
RD100,Gallons,Public Works,2022,Q4,90,0.03
RD100,Gallons,Public Works,2022,Q4,90,0.03
RD100,Gallons,Public Works,2022,Q4,90,0.03
RD100,Gallons,Public Works,2022,Q4,90,0.03
RD100,Gallons,Public Works,2022,Q4,91,0.03
RD100,Gallons,Public Works,2022,Q4,92,0.03
RD100,Gallons,Public Works,2022,Q4,94,0.03
RD100,Gallons,Public Works,2022,Q4,96,0.03
RD100,Gallons,Public Works,2022,Q4,96,0.03
RD100,Gallons,Public Works,2022,Q4,98,0.03
RD100,Gallons,Public Works,2022,Q4,98,0.03
RD100,Gallons,Public Works,2022,Q4,99,0.03
RD100,Gallons,Public Works,2022,Q4,101,0.03
RD100,Gallons,Public Works,2022,Q4,103,0.03
RD100,Gallons,Public Works,2022,Q4,104,0.03
RD100,Gallons,Public Works,2022,Q4,106,0.03
RD100,Gallons,Public Works,2022,Q4,108,0.04
RD100,Gallons,Public Works,2022,Q4,111,0.04
RD100,Gallons,Public Works,2022,Q4,112,0.04
RD100,Gallons,Public Works,2022,Q4,113,0.04
RD100,Gallons,Public Works,2022,Q4,115,0.04
RD100,Gallons,Public Works,2022,Q4,116,0.04
RD100,Gallons,Public Works,2022,Q4,118,0.04
RD100,Gallons,Public Works,2022,Q4,118,0.04
RD100,Gallons,Public Works,2022,Q4,119,0.04
RD100,Gallons,Public Works,2022,Q4,119,0.04
RD100,Gallons,Public Works,2022,Q4,121,0.04
RD100,Gallons,Public Works,2022,Q4,122,0.04
RD100,Gallons,Public Works,2022,Q4,123,0.04
RD100,Gallons,Public Works,2022,Q4,128,0.04
RD100,Gallons,Public Works,2022,Q4,130,0.04
RD100,Gallons,Public Works,2022,Q4,133,0.04
RD100,Gallons,Public Works,2022,Q4,133,0.04
RD100,Gallons,Public Works,2022,Q4,133,0.04
RD100,Gallons,Public Works,2022,Q4,136,0.04
RD100,Gallons,Public Works,2022,Q4,137,0.04
RD100,Gallons,Public Works,2022,Q4,138,0.05
RD100,Gallons,Public Works,2022,Q4,140,0.05
RD100,Gallons,Public Works,2022,Q4,140,0.05
RD100,Gallons,Public Works,2022,Q4,143,0.05
RD100,Gallons,Public Works,2022,Q4,143,0.05
RD100,Gallons,Public Works,2022,Q4,148,0.05
RD100,Gallons,Public Works,2022,Q4,149,0.05
RD100,Gallons,Public Works,2022,Q4,151,0.05
RD100,Gallons,Public Works,2022,Q4,153,0.05
RD100,Gallons,Public Works,2022,Q4,156,0.05
RD100,Gallons,Public Works,2022,Q4,158,0.05
RD100,Gallons,Public Works,2022,Q4,159,0.05
RD100,Gallons,Public Works,2022,Q4,160,0.05
RD100,Gallons,Public Works,2022,Q4,163,0.05
RD100,Gallons,Public Works,2022,Q4,164,0.05
RD100,Gallons,Public Works,2022,Q4,164,0.05
RD100,Gallons,Public Works,2022,Q4,164,0.05
RD100,Gallons,Public Works,2022,Q4,166,0.05
RD100,Gallons,Public Works,2022,Q4,167,0.05
RD100,Gallons,Public Works,2022,Q4,169,0.06
RD100,Gallons,Public Works,2022,Q4,173,0.06
RD100,Gallons,Public Works,2022,Q4,185,0.06
RD100,Gallons,Public Works,2022,Q4,187,0.06
RD100,Gallons,Public Works,2022,Q4,188,0.06
RD100,Gallons,Public Works,2022,Q4,189,0.06
N Discharged,Avg kgN/day,Public Utilities Commission,2020,Q1,55.73,21.17
N Discharged,Avg kgN/day,Public Utilities Commission,2020,Q1,2393.13,909.16
N Discharged,Avg kgN/day,Public Utilities Commission,2021,Q1,54.77,20.81
N Discharged,Avg kgN/day,Public Utilities Commission,2021,Q1,2908.98,1105.14
CNG,Gallons,Fire Department,2020,Q1,17,0.11
Gasoline,Gallons,Fire Department,2020,Q1,91,0.82
Gasoline,Gallons,Fire Department,2020,Q1,267,2.4
Gasoline,Gallons,Fire Department,2020,Q1,300,2.69
Gasoline,Gallons,Fire Department,2020,Q1,300,2.69
Gasoline,Gallons,Fire Department,2020,Q1,360,3.23
Gasoline,Gallons,Fire Department,2020,Q1,446,4
Gasoline,Gallons,Fire Department,2020,Q1,480,4.31
Gasoline,Gallons,Fire Department,2020,Q1,500,4.49
Gasoline,Gallons,Fire Department,2020,Q1,500,4.49
Gasoline,Gallons,Fire Department,2020,Q1,500,4.49
Gasoline,Gallons,Fire Department,2020,Q1,501,4.5
Gasoline,Gallons,Fire Department,2020,Q1,600,5.38
Gasoline,Gallons,Fire Department,2020,Q1,700,6.28
Gasoline,Gallons,Fire Department,2020,Q1,725,6.51
Gasoline,Gallons,Fire Department,2020,Q1,853,7.65
Gasoline,Gallons,Fire Department,2020,Q1,854,7.66
Gasoline,Gallons,Fire Department,2020,Q1,900,8.08
Gasoline,Gallons,Fire Department,2020,Q1,903,8.1
Gasoline,Gallons,Fire Department,2020,Q1,909,8.16
Gasoline,Gallons,Fire Department,2020,Q1,937,8.41
Gasoline,Gallons,Fire Department,2020,Q1,949,8.52
Gasoline,Gallons,Fire Department,2020,Q1,950,8.52
Gasoline,Gallons,Fire Department,2020,Q1,950,8.52
Gasoline,Gallons,Fire Department,2020,Q1,976,8.76
Gasoline,Gallons,Fire Department,2020,Q1,977,8.77
Gasoline,Gallons,Fire Department,2020,Q1,982,8.81
Gasoline,Gallons,Fire Department,2020,Q1,994,8.92
Gasoline,Gallons,Fire Department,2020,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2020,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2020,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2020,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2020,Q1,1052,9.44
Gasoline,Gallons,Fire Department,2020,Q1,1067,9.57
Gasoline,Gallons,Fire Department,2020,Q1,1082,9.71
Gasoline,Gallons,Fire Department,2020,Q1,1100,9.87
Gasoline,Gallons,Fire Department,2020,Q1,1109,9.95
Gasoline,Gallons,Fire Department,2020,Q1,1155,10.36
Gasoline,Gallons,Fire Department,2020,Q1,1165,10.45
Gasoline,Gallons,Fire Department,2020,Q1,1180,10.59
Gasoline,Gallons,Fire Department,2020,Q1,1200,10.77
Gasoline,Gallons,Fire Department,2020,Q1,1200,10.77
Gasoline,Gallons,Fire Department,2020,Q1,1250,11.22
Gasoline,Gallons,Fire Department,2020,Q1,1250,11.22
Gasoline,Gallons,Fire Department,2020,Q1,1267,11.37
Gasoline,Gallons,Fire Department,2020,Q1,1277,11.46
Gasoline,Gallons,Fire Department,2020,Q1,1304,11.7
Gasoline,Gallons,Fire Department,2020,Q1,1306,11.72
Gasoline,Gallons,Fire Department,2020,Q1,1312,11.77
Gasoline,Gallons,Fire Department,2020,Q1,1320,11.84
Gasoline,Gallons,Fire Department,2020,Q1,1348,12.1
Gasoline,Gallons,Fire Department,2020,Q1,1353,12.14
Gasoline,Gallons,Fire Department,2020,Q1,1627,14.6
Gasoline,Gallons,Fire Department,2020,Q1,1700,15.25
Gasoline,Gallons,Fire Department,2022,Q1,250,2.24
Gasoline,Gallons,Fire Department,2022,Q1,305,2.74
Gasoline,Gallons,Fire Department,2022,Q1,350,3.14
Gasoline,Gallons,Fire Department,2022,Q1,365,3.28
Gasoline,Gallons,Fire Department,2022,Q1,379,3.4
Gasoline,Gallons,Fire Department,2022,Q1,400,3.59
Gasoline,Gallons,Fire Department,2022,Q1,485,4.35
Gasoline,Gallons,Fire Department,2022,Q1,501,4.5
Gasoline,Gallons,Fire Department,2022,Q1,509,4.57
Gasoline,Gallons,Fire Department,2022,Q1,543,4.87
Gasoline,Gallons,Fire Department,2022,Q1,550,4.94
Gasoline,Gallons,Fire Department,2022,Q1,677,6.07
Gasoline,Gallons,Fire Department,2022,Q1,701,6.29
Gasoline,Gallons,Fire Department,2022,Q1,750,6.73
Gasoline,Gallons,Fire Department,2022,Q1,901,8.08
Gasoline,Gallons,Fire Department,2022,Q1,940,8.43
Gasoline,Gallons,Fire Department,2022,Q1,957,8.59
Gasoline,Gallons,Fire Department,2022,Q1,983,8.82
Gasoline,Gallons,Fire Department,2022,Q1,987,8.86
Gasoline,Gallons,Fire Department,2022,Q1,990,8.88
Gasoline,Gallons,Fire Department,2022,Q1,991,8.89
Gasoline,Gallons,Fire Department,2022,Q1,992,8.9
Gasoline,Gallons,Fire Department,2022,Q1,995,8.93
Gasoline,Gallons,Fire Department,2022,Q1,998,8.96
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1000,8.97
Gasoline,Gallons,Fire Department,2022,Q1,1002,8.99
Gasoline,Gallons,Fire Department,2022,Q1,1005,9.02
Gasoline,Gallons,Fire Department,2022,Q1,1005,9.02
Gasoline,Gallons,Fire Department,2022,Q1,1020,9.15
Gasoline,Gallons,Fire Department,2022,Q1,1022,9.17
Gasoline,Gallons,Fire Department,2022,Q1,1050,9.42
Gasoline,Gallons,Fire Department,2022,Q1,1055,9.47
Gasoline,Gallons,Fire Department,2022,Q1,1062,9.53
Gasoline,Gallons,Fire Department,2022,Q1,1100,9.87
Gasoline,Gallons,Fire Department,2022,Q1,1185,10.63
Gasoline,Gallons,Fire Department,2022,Q1,1186,10.64
Gasoline,Gallons,Fire Department,2022,Q1,1200,10.77
Gasoline,Gallons,Fire Department,2022,Q1,1200,10.77
Gasoline,Gallons,Fire Department,2022,Q1,1200,10.77
Gasoline,Gallons,Fire Department,2022,Q1,1200,10.77
Gasoline,Gallons,Fire Department,2022,Q1,1400,12.56
Gasoline,Gallons,Fire Department,2022,Q1,1480,13.28
Gasoline,Gallons,Fire Department,2022,Q1,1505,13.5
Gasoline,Gallons,Fire Department,2022,Q1,1566,14.05
Gasoline,Gallons,Fire Department,2022,Q1,2175,19.52
RD100,Gallons,Fire Department,2020,Q1,163.7,0.05
RD100,Gallons,Fire Department,2020,Q1,209,0.07
RD100,Gallons,Fire Department,2020,Q1,236.7,0.08
RD100,Gallons,Fire Department,2020,Q1,255.3,0.08
RD100,Gallons,Fire Department,2020,Q1,432.6,0.14
